dataset,scenario,seed,split,model,metric,accuracy,fit_seconds,predict_seconds,total_seconds,device,train_size,test_size,n_samples_total,n_features_raw,n_numeric_features,n_categorical_features,n_features_after_preprocessing,random_state,test_size_ratio,data_cache,input_representation,notes
bank_marketing,control_10k,44,bank_marketing_fixed_test_seed44_train10000,TabICL,accuracy,0.9116,0.5989,4.4402,5.0392,cuda,10000,9043,45211,16,7,9,16,44,0.2,data/raw/bank_marketing_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Fixed test set + seed-specific 10k train subset; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint.
bank_marketing,control_10k,45,bank_marketing_fixed_test_seed45_train10000,LightGBM,accuracy,0.9036,0.2343,0.0896,0.3239,cpu,10000,9043,45211,16,7,9,51,45,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
bank_marketing,control_10k,45,bank_marketing_fixed_test_seed45_train10000,XGBoost,accuracy,0.9038,0.3299,0.0534,0.3832,cpu,10000,9043,45211,16,7,9,51,45,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
bank_marketing,control_10k,45,bank_marketing_fixed_test_seed45_train10000,TabPFN v2,accuracy,0.9088,0.4441,12.9787,13.4228,cuda,10000,9043,45211,16,7,9,16,45,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + ordinal categorical,Fixed test set + seed-specific 10k train subset within TabPFN support range; trained without ignore_pretraining_limits=True.
bank_marketing,control_10k,45,bank_marketing_fixed_test_seed45_train10000,TabICL,accuracy,0.9062,0.574,5.2211,5.7951,cuda,10000,9043,45211,16,7,9,16,45,0.2,data/raw/bank_marketing_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Fixed test set + seed-specific 10k train subset; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint.
bank_marketing,control_10k,46,bank_marketing_fixed_test_seed46_train10000,LightGBM,accuracy,0.9026,0.2389,0.086,0.3249,cpu,10000,9043,45211,16,7,9,51,46,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
bank_marketing,control_10k,46,bank_marketing_fixed_test_seed46_train10000,XGBoost,accuracy,0.9017,0.3217,0.0456,0.3673,cpu,10000,9043,45211,16,7,9,51,46,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Fixed test set + seed-specific 10k train subset in the unified Phase 4 mainline table.
bank_marketing,control_10k,46,bank_marketing_fixed_test_seed46_train10000,TabPFN v2,accuracy,0.9089,0.439,12.712,13.1511,cuda,10000,9043,45211,16,7,9,16,46,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + ordinal categorical,Fixed test set + seed-specific 10k train subset within TabPFN support range; trained without ignore_pretraining_limits=True.
bank_marketing,control_10k,46,bank_marketing_fixed_test_seed46_train10000,TabICL,accuracy,0.9088,0.7616,4.7736,5.5352,cuda,10000,9043,45211,16,7,9,16,46,0.2,data/raw/bank_marketing_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Fixed test set + seed-specific 10k train subset; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint.
bank_marketing,full_train_reference,42,bank_marketing_fixed_test_seed42_full_train,LightGBM,accuracy,0.91,0.7743,0.1047,0.879,cpu,36168,9043,45211,16,7,9,51,42,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
bank_marketing,full_train_reference,42,bank_marketing_fixed_test_seed42_full_train,XGBoost,accuracy,0.9088,0.9722,0.0487,1.0209,cpu,36168,9043,45211,16,7,9,51,42,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
bank_marketing,full_train_reference,42,bank_marketing_fixed_test_seed42_full_train,TabPFN v2,accuracy,0.9128,1.8663,82.1968,84.0631,cuda,36168,9043,45211,16,7,9,16,42,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + ordinal categorical,"Full-train reference row; used ignore_pretraining_limits=True because train size exceeds the official 10,000-sample support, so this is a constrained result."
bank_marketing,full_train_reference,42,bank_marketing_fixed_test_seed42_full_train,TabICL,accuracy,0.9132,0.8175,21.7999,22.6174,cuda,36168,9043,45211,16,7,9,16,42,0.2,data/raw/bank_marketing_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Full-train reference row; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint and internal TransformToNumerical.
bank_marketing,full_train_reference,43,bank_marketing_fixed_test_seed43_full_train,LightGBM,accuracy,0.9059,0.6698,0.0838,0.7536,cpu,36168,9043,45211,16,7,9,51,43,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
bank_marketing,full_train_reference,43,bank_marketing_fixed_test_seed43_full_train,XGBoost,accuracy,0.9087,0.8409,0.0474,0.8883,cpu,36168,9043,45211,16,7,9,51,43,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
bank_marketing,full_train_reference,43,bank_marketing_fixed_test_seed43_full_train,TabPFN v2,accuracy,0.9114,1.6426,76.9873,78.6298,cuda,36168,9043,45211,16,7,9,16,43,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + ordinal categorical,"Full-train reference row; used ignore_pretraining_limits=True because train size exceeds the official 10,000-sample support, so this is a constrained result."
bank_marketing,full_train_reference,43,bank_marketing_fixed_test_seed43_full_train,TabICL,accuracy,0.913,1.032,25.3225,26.3544,cuda,36168,9043,45211,16,7,9,16,43,0.2,data/raw/bank_marketing_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Full-train reference row; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint and internal TransformToNumerical.
bank_marketing,full_train_reference,44,bank_marketing_fixed_test_seed44_full_train,LightGBM,accuracy,0.9085,0.6443,0.0806,0.7248,cpu,36168,9043,45211,16,7,9,51,44,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
bank_marketing,full_train_reference,44,bank_marketing_fixed_test_seed44_full_train,XGBoost,accuracy,0.9097,0.8514,0.0489,0.9002,cpu,36168,9043,45211,16,7,9,51,44,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
bank_marketing,full_train_reference,44,bank_marketing_fixed_test_seed44_full_train,TabPFN v2,accuracy,0.9123,1.5763,76.1499,77.7262,cuda,36168,9043,45211,16,7,9,16,44,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + ordinal categorical,"Full-train reference row; used ignore_pretraining_limits=True because train size exceeds the official 10,000-sample support, so this is a constrained result."
bank_marketing,full_train_reference,44,bank_marketing_fixed_test_seed44_full_train,TabICL,accuracy,0.9135,0.777,22.181,22.958,cuda,36168,9043,45211,16,7,9,16,44,0.2,data/raw/bank_marketing_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Full-train reference row; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint and internal TransformToNumerical.
bank_marketing,full_train_reference,45,bank_marketing_fixed_test_seed45_full_train,LightGBM,accuracy,0.9088,0.633,0.0806,0.7136,cpu,36168,9043,45211,16,7,9,51,45,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
bank_marketing,full_train_reference,45,bank_marketing_fixed_test_seed45_full_train,XGBoost,accuracy,0.9053,0.8278,0.0443,0.8722,cpu,36168,9043,45211,16,7,9,51,45,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
bank_marketing,full_train_reference,45,bank_marketing_fixed_test_seed45_full_train,TabPFN v2,accuracy,0.9103,1.7257,76.0388,77.7646,cuda,36168,9043,45211,16,7,9,16,45,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + ordinal categorical,"Full-train reference row; used ignore_pretraining_limits=True because train size exceeds the official 10,000-sample support, so this is a constrained result."
bank_marketing,full_train_reference,45,bank_marketing_fixed_test_seed45_full_train,TabICL,accuracy,0.9104,0.798,19.2756,20.0737,cuda,36168,9043,45211,16,7,9,16,45,0.2,data/raw/bank_marketing_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Full-train reference row; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint and internal TransformToNumerical.
bank_marketing,full_train_reference,46,bank_marketing_fixed_test_seed46_full_train,LightGBM,accuracy,0.9082,0.64,0.0835,0.7235,cpu,36168,9043,45211,16,7,9,51,46,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
bank_marketing,full_train_reference,46,bank_marketing_fixed_test_seed46_full_train,XGBoost,accuracy,0.9089,1.2087,0.0434,1.252,cpu,36168,9043,45211,16,7,9,51,46,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + one-hot categorical,Full-train reference row in the unified Phase 4 mainline table.
bank_marketing,full_train_reference,46,bank_marketing_fixed_test_seed46_full_train,TabPFN v2,accuracy,0.908,1.7872,76.1235,77.9107,cuda,36168,9043,45211,16,7,9,16,46,0.2,data/raw/bank_marketing_openml.csv,median-impute numeric + ordinal categorical,"Full-train reference row; used ignore_pretraining_limits=True because train size exceeds the official 10,000-sample support, so this is a constrained result."
bank_marketing,full_train_reference,46,bank_marketing_fixed_test_seed46_full_train,TabICL,accuracy,0.9093,0.7722,19.2578,20.03,cuda,36168,9043,45211,16,7,9,16,46,0.2,data/raw/bank_marketing_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Full-train reference row; uses TabICLClassifier with the official tabicl-classifier-v2-20260212.ckpt checkpoint and internal TransformToNumerical.
