dataset,train_size_label,train_size,seed,split,model,metric,accuracy,balanced_accuracy,macro_f1,fit_seconds,predict_seconds,total_seconds,device,test_size,n_samples_total,n_features_raw,n_numeric_features,n_categorical_features,n_features_after_preprocessing,random_state,test_size_ratio,data_cache,input_representation,notes
adult,8192,8192,45,adult_fixed_test_seed45_train8192,TabPFN v2,accuracy,0.861,0.7818,0.7977,0.2981,9.9426,10.2406,cuda,9769,48842,14,6,8,14,45,0.2,data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=8192; trained within TabPFN support range.
adult,8192,8192,45,adult_fixed_test_seed45_train8192,TabICL,accuracy,0.8678,0.7856,0.8051,0.4422,4.0659,4.5081,cuda,9769,48842,14,6,8,14,45,0.2,data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=8192; uses the official tabicl-classifier-v2-20260212.ckpt checkpoint.
adult,8192,8192,46,adult_fixed_test_seed46_train8192,LightGBM,accuracy,0.8661,0.7918,0.8064,0.2614,0.0925,0.3539,cpu,9769,48842,14,6,8,104,46,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=8192 and the fixed Phase 4 baseline settings.
adult,8192,8192,46,adult_fixed_test_seed46_train8192,XGBoost,accuracy,0.869,0.7903,0.8082,0.3206,0.0526,0.3731,cpu,9769,48842,14,6,8,104,46,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=8192 and the fixed Phase 4 baseline settings.
adult,8192,8192,46,adult_fixed_test_seed46_train8192,TabPFN v2,accuracy,0.8614,0.7748,0.7947,0.3125,10.0787,10.3912,cuda,9769,48842,14,6,8,14,46,0.2,data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=8192; trained within TabPFN support range.
adult,8192,8192,46,adult_fixed_test_seed46_train8192,TabICL,accuracy,0.867,0.7849,0.8041,0.4502,4.1078,4.558,cuda,9769,48842,14,6,8,14,46,0.2,data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=8192; uses the official tabicl-classifier-v2-20260212.ckpt checkpoint.
adult,10000,10000,42,adult_fixed_test_seed42_train10000,LightGBM,accuracy,0.8684,0.7924,0.8086,0.228,0.0937,0.3217,cpu,9769,48842,14,6,8,104,42,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=10000 and the fixed Phase 4 baseline settings.
adult,10000,10000,42,adult_fixed_test_seed42_train10000,XGBoost,accuracy,0.8681,0.7875,0.8062,0.3754,0.0497,0.4251,cpu,9769,48842,14,6,8,104,42,0.2,data/raw/adult_openml.csv,median-impute numeric + one-hot categorical,Phase 5 scalability train-size row with train_size=10000 and the fixed Phase 4 baseline settings.
adult,10000,10000,42,adult_fixed_test_seed42_train10000,TabPFN v2,accuracy,0.8621,0.7807,0.7981,0.3549,12.5712,12.9261,cuda,9769,48842,14,6,8,14,42,0.2,data/raw/adult_openml.csv,median-impute numeric + ordinal categorical,Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=10000; trained within TabPFN support range.
adult,10000,10000,42,adult_fixed_test_seed42_train10000,TabICL,accuracy,0.8703,0.7907,0.8095,0.4594,4.7568,5.2162,cuda,9769,48842,14,6,8,14,42,0.2,data/raw/adult_openml.csv,TabICL TransformToNumerical (ordinal categorical + default numeric imputation),Phase 5 scalability train-size row; seed-specific stratified train subset with train_size=10000; uses the official tabicl-classifier-v2-20260212.ckpt checkpoint.
